"","nazov","price","year","km","kw","kraj","fuel","trans"
"881","ŠKODA",27990,2020,65305,110,"TN kraj","Benzín","Manuál"
"882","Škoda",28350,2020,25083,110,"NR kraj","Diesel","Automat"
"883","Škoda",28499,2018,100030,180,"BB kraj","Benzín","Automat"
"884","Škoda",28650,2021,26950,110,"PO kraj","Diesel","Automat"
"885","Škoda",29280,2020,40000,110,"BA kraj","Diesel","Automat"
"886","Škoda",29400,2021,15054,110,"BA kraj","Benzín","Manuál"
"887","Škoda",29800,2020,38916,110,"BA kraj","Diesel","Automat"
"888","Škoda",29800,2021,30000,110,"BA kraj","Diesel","Automat"
"889","Škoda",29990,2022,10,85,"NR kraj","Diesel","Manuál"
"890","Škoda",29990,2021,15000,110,"BA kraj","Benzín","Automat"
"891","Škoda",30599,2020,35958,110,"BA kraj","Diesel","Automat"
"892","Škoda",30990,2021,40093,110,"BA kraj","Benzín","Automat"
"893","Škoda",30999,2020,48200,110,"BA kraj","Diesel","Automat"
"894","Škoda",31990,2022,50,110,"NR kraj","Benzín","Manuál"
"895","Škoda",32000,2020,54000,110,"BA kraj","Diesel","Automat"
"896","Škoda",33490,2021,9873,110,"ZA kraj","Benzín","Automat"
"897","Škoda",33750,2020,21000,110,"BA kraj","Diesel","Automat"
"898","ŠKODA",34900,2022,9990,110,"BA kraj","Diesel","Automat"
"899","Škoda",34990,2022,15,110,"NR kraj","Benzín","Manuál"
"900","Škoda",35990,2022,6385,110,"NR kraj","Diesel","Automat"
